"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"309","Russia has never tried to use leverage over me. I HAVE NOTHING TO DO WITH RUSSIA - NO DEALS, NO LOANS, NO NOTHING!",FALSE,87111,NA,2017-01-11 12:31:31,FALSE,NA,"819159806489591809",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",23800,FALSE,FALSE,NA,NA
"310","Russia just said the unverified report paid for by political opponents is ""A COMPLETE AND TOTAL FABRICATION, UTTER NONSENSE."" Very unfair!",FALSE,67523,NA,2017-01-11 12:13:40,FALSE,NA,"819155311793700865",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",17904,FALSE,FALSE,NA,NA
"311","'BuzzFeed Runs Unverifiable Trump-Russia Claims' #FakeNews 
https://t.co/d6daCFZHNh",FALSE,46269,NA,2017-01-11 02:00:11,FALSE,NA,"819000924207251456",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",15316,FALSE,FALSE,NA,NA
"312","FAKE NEWS - A TOTAL POLITICAL WITCH HUNT!",FALSE,96010,NA,2017-01-11 01:19:23,FALSE,NA,"818990655418617856",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",29950,FALSE,FALSE,NA,NA
"313","'Trump Helps Lift Small Business Confidence to 12-Yr. High'
https://t.co/MhbABREhzt https://t.co/CWAvJ4fRdx",FALSE,44183,NA,2017-01-10 22:30:53,FALSE,NA,"818948254943604736",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",10681,FALSE,FALSE,NA,NA
"314","'Small business optimism soars after Trump election' https://t.co/WjBaTp824U",FALSE,50512,NA,2017-01-10 20:50:31,FALSE,NA,"818922995980845056",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",12013,FALSE,FALSE,NA,NA
"315","'U.S. Small-Business Optimism Index Surges by Most Since 1980'
https://t.co/X22x1BttdG",FALSE,42715,NA,2017-01-10 15:26:22,FALSE,NA,"818841421364989952",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",11349,FALSE,FALSE,NA,NA
"316","Thank you to all of the men and women who protect &amp; serve our communities 24/7/365! 
#LawEnforcementAppreciationDay… https://t.co/aqUbDipSgv",FALSE,94417,NA,2017-01-10 02:20:01,TRUE,NA,"818643528905621504",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",23533,FALSE,FALSE,NA,NA
"317","An old picture with Nancy and Ronald Reagan. https://t.co/8kvQ1PzPAf",FALSE,125502,NA,2017-01-09 22:32:33,FALSE,NA,"818586286034485250",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",25442,FALSE,FALSE,NA,NA
"318","Ford said last week that it will expand in Michigan and U.S. instead of building a BILLION dollar plant in Mexico. Thank you Ford &amp; Fiat C!",FALSE,111328,NA,2017-01-09 14:16:34,FALSE,NA,"818461467766824961",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",23837,FALSE,FALSE,NA,NA
