"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","hour"
"335","One of the very exciting things to come out of my meeting with President Xi of China is his promise to me to crimin… ",FALSE,65695,NA,2018-12-05 13:44:10,TRUE,NA,"1070312880095068160",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",14192,FALSE,FALSE,NA,NA,8
"336","Very strong signals being sent by China once they returned home from their long trip, including stops, from Argenti… ",FALSE,85242,NA,2018-12-05 13:19:46,TRUE,NA,"1070306739092889601",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",16704,FALSE,FALSE,NA,NA,8
"337",".....China had agreed to start “immediately” buying U.S. products.” business",FALSE,62214,NA,2018-12-05 12:49:48,FALSE,NA,"1070299196538961920",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",12786,FALSE,FALSE,NA,NA,7
"338","“China officially echoed President Donald Trump’s optimism over bilateral trade talks. Chinese officials have begun… ",FALSE,64460,NA,2018-12-05 12:46:28,TRUE,NA,"1070298360572198913",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",14463,FALSE,FALSE,NA,NA,7
"339",".....China does not want Tariffs!",FALSE,70188,NA,2018-12-05 00:21:41,FALSE,NA,"1070110927788347393",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",13147,FALSE,FALSE,NA,NA,19
"340","We are either going to have a REAL DEAL with China, or no deal at all - at which point we will be charging major Ta… ",FALSE,82683,NA,2018-12-05 00:20:27,TRUE,NA,"1070110615627333632",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",17715,FALSE,FALSE,NA,NA,19
"341","Clinton Foundation donations drop 42% - which shows that they illegally played the power game. They monetized their… ",FALSE,119563,NA,2018-11-25 20:39:26,TRUE,NA,"1066793504804913152",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",35849,FALSE,FALSE,NA,NA,15
"342","Europe has to pay their fair share for Military Protection. The European Union, for many years, has taken advantage… ",FALSE,86504,NA,2018-11-25 20:27:34,TRUE,NA,"1066790517944606721",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",20892,FALSE,FALSE,NA,NA,15
"343","General Anthony Tata: “President Trump is a man of his word &amp; he said he was going to be tough on the Border, and h… ",FALSE,83202,NA,2018-11-25 20:20:36,TRUE,NA,"1066788767133040640",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",20914,FALSE,FALSE,NA,NA,15
"344","Mississippi, Vote for cindyhydesmith on Tuesday. Respected by all. We need her in Washington!. Thanks!",FALSE,56884,NA,2018-11-25 20:13:00,FALSE,NA,"1066786854643662848",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",14440,FALSE,FALSE,NA,NA,15
"345","So great that oil prices are falling (thank you President T). Add that, which is like a big Tax Cut, to our other g… ",FALSE,109752,NA,2018-11-25 13:46:54,TRUE,NA,"1066689688600281088",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",22594,FALSE,FALSE,NA,NA,8
"346","Would be very SMART if Mexico would stop the Caravans long before they get to our Southern Border, or if originatin… ",FALSE,126605,NA,2018-11-25 13:28:30,TRUE,NA,"1066685057648214018",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",29988,FALSE,FALSE,NA,NA,8
"347","The large and violent French protests don’t take into account how badly the United States has been treated on Trade… ",FALSE,75052,NA,2018-11-25 13:16:56,TRUE,NA,"1066682146683846657",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",17406,FALSE,FALSE,NA,NA,8
"348","I will be in Gulfport and Tupelo, Mississippi, on Monday night doing two Rallies for Senator Hyde-Smith, who has a… ",FALSE,74591,NA,2018-11-25 12:30:51,TRUE,NA,"1066670550708301824",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",18267,FALSE,FALSE,NA,NA,7
"349","Victor Davis Hanson was a very good and interesting guest of Mark Levin on FoxNews. He wrote a highly touted book… ",FALSE,60292,NA,2018-11-25 12:12:34,TRUE,NA,"1066665948193669120",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",14214,FALSE,FALSE,NA,NA,7
"350","....All will stay in Mexico. If for any reason it becomes necessary, we will CLOSE our Southern Border. There is no… ",FALSE,142711,NA,2018-11-24 23:56:27,TRUE,NA,"1066480700046655488",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",33417,FALSE,FALSE,NA,NA,18
"351","Migrants at the Southern Border will not be allowed into the United States until their claims are individually appr… ",FALSE,163356,NA,2018-11-24 23:49:25,TRUE,NA,"1066478927143677952",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",37027,FALSE,FALSE,NA,NA,18
