"","Year","Month","tmax","tmin","af","rain","sun","date","month","station"
"106",1965,"10",16.2,6.7,0,17.9,NA,1965-10-15,"Oct","hurn"
"107",1965,"11",9.6,2.2,12,123.3,NA,1965-11-15,"Nov","hurn"
"108",1965,"12",9.5,1.9,9,118.5,NA,1965-12-15,"Dec","hurn"
"109",1966,"1",6.1,1.5,14,79.3,NA,1966-01-15,"Jan","hurn"
"110",1966,"2",9.4,5.2,1,140.6,NA,1966-02-15,"Feb","hurn"
"111",1966,"3",10.9,2.3,6,18.1,NA,1966-03-15,"Mar","hurn"
"112",1966,"4",12.2,5.3,0,101.7,NA,1966-04-15,"Apr","hurn"
"113",1966,"5",16.1,6.3,0,44.9,NA,1966-05-15,"May","hurn"
"114",1966,"6",20.1,10.7,0,47.5,NA,1966-06-15,"Jun","hurn"
"115",1966,"7",20.3,10.8,0,69.6,NA,1966-07-15,"Jul","hurn"
"116",1966,"8",19.9,10.6,0,106.8,NA,1966-08-15,"Aug","hurn"
"117",1966,"9",19.2,9.3,0,41.7,NA,1966-09-15,"Sep","hurn"
"118",1966,"10",15,6.8,2,216.1,NA,1966-10-15,"Oct","hurn"
"119",1966,"11",9.4,1.9,8,58,NA,1966-11-15,"Nov","hurn"
"120",1966,"12",10.2,2.7,8,69.2,NA,1966-12-15,"Dec","hurn"
"121",1967,"1",7.6,1.4,12,103.8,NA,1967-01-15,"Jan","hurn"
"122",1967,"2",9.5,2,14,97.1,NA,1967-02-15,"Feb","hurn"
"123",1967,"3",11.3,3.9,2,59.3,NA,1967-03-15,"Mar","hurn"
"124",1967,"4",12.8,4.1,3,31.6,NA,1967-04-15,"Apr","hurn"
"125",1967,"5",14.8,7.3,2,124.5,NA,1967-05-15,"May","hurn"
"126",1967,"6",19.4,9.3,0,38.3,NA,1967-06-15,"Jun","hurn"
"127",1967,"7",21.5,11.3,0,24.1,NA,1967-07-15,"Jul","hurn"
"128",1967,"8",20.2,11.3,0,61.5,NA,1967-08-15,"Aug","hurn"
"129",1967,"9",17.9,10.5,0,108.8,NA,1967-09-15,"Sep","hurn"
"130",1967,"10",14.8,8.8,1,174,NA,1967-10-15,"Oct","hurn"
"131",1967,"11",9.9,1.3,8,49.7,NA,1967-11-15,"Nov","hurn"
"132",1967,"12",8,0.7,15,49.1,NA,1967-12-15,"Dec","hurn"
"133",1968,"1",8.1,1.7,11,73.4,NA,1968-01-15,"Jan","hurn"
"134",1968,"2",6.4,-1.6,20,58.4,NA,1968-02-15,"Feb","hurn"
"135",1968,"3",10.7,2.3,9,26.5,NA,1968-03-15,"Mar","hurn"
"136",1968,"4",12.7,2.8,10,65.6,NA,1968-04-15,"Apr","hurn"
"137",1968,"5",15,5.6,0,65,NA,1968-05-15,"May","hurn"
"138",1968,"6",19.3,10.6,0,86.3,NA,1968-06-15,"Jun","hurn"
"139",1968,"7",20,10.7,0,43.7,NA,1968-07-15,"Jul","hurn"
"140",1968,"8",19.9,12.1,0,44.6,NA,1968-08-15,"Aug","hurn"
"141",1968,"9",18.2,10.3,0,138.5,NA,1968-09-15,"Sep","hurn"
"142",1968,"10",16.1,10.5,0,104.7,NA,1968-10-15,"Oct","hurn"
"143",1968,"11",10.4,4.5,5,40.6,NA,1968-11-15,"Nov","hurn"
"144",1968,"12",6.9,1.2,12,111,40.4,1968-12-15,"Dec","hurn"
"145",1969,"1",9.5,3.4,8,127.4,33.4,1969-01-15,"Jan","hurn"
"146",1969,"2",5.7,-1.5,18,43.1,84.6,1969-02-15,"Feb","hurn"
"147",1969,"3",8.9,1.1,11,79,73.8,1969-03-15,"Mar","hurn"
"148",1969,"4",13.3,2.9,9,25.2,201.3,1969-04-15,"Apr","hurn"
"149",1969,"5",15.5,7.3,0,95.7,170.3,1969-05-15,"May","hurn"
"150",1969,"6",19.8,9,0,32.9,257.8,1969-06-15,"Jun","hurn"
"151",1969,"7",22.2,11.5,0,51.7,248.1,1969-07-15,"Jul","hurn"
"152",1969,"8",21,12.4,0,62.8,170.1,1969-08-15,"Aug","hurn"
"153",1969,"9",18.7,10,0,46.2,99.3,1969-09-15,"Sep","hurn"
"154",1969,"10",17.4,7.9,2,2.7,133.5,1969-10-15,"Oct","hurn"
"155",1969,"11",10.3,2.3,10,146.6,94.2,1969-11-15,"Nov","hurn"
"156",1969,"12",7.1,0.4,15,102.9,54.5,1969-12-15,"Dec","hurn"
"157",1970,"1",7.9,1.6,10,154.9,37.2,1970-01-15,"Jan","hurn"
"158",1970,"2",7.9,0.3,14,64.8,109.7,1970-02-15,"Feb","hurn"
"159",1970,"3",8.6,0.1,16,50.9,125.6,1970-03-15,"Mar","hurn"
"160",1970,"4",11.1,3,8,48.3,149.5,1970-04-15,"Apr","hurn"
"161",1970,"5",17.8,6.7,0,34.9,235,1970-05-15,"May","hurn"
"162",1970,"6",21.6,10.9,0,24.7,262.9,1970-06-15,"Jun","hurn"
"163",1970,"7",20.3,11.1,0,46.2,189.8,1970-07-15,"Jul","hurn"
"164",1970,"8",20.9,10.8,0,48.6,175.9,1970-08-15,"Aug","hurn"
"165",1970,"9",19.4,10.2,0,77.9,188.6,1970-09-15,"Sep","hurn"
"166",1970,"10",15.3,7,2,21.2,116.1,1970-10-15,"Oct","hurn"
"167",1970,"11",12.4,5.1,5,217.3,63.7,1970-11-15,"Nov","hurn"
"168",1970,"12",7.2,0.9,16,32,65.2,1970-12-15,"Dec","hurn"
"169",1971,"1",8.2,2.8,5,128.4,53.1,1971-01-15,"Jan","hurn"
"170",1971,"2",8.7,0,14,22.5,85.9,1971-02-15,"Feb","hurn"
"171",1971,"3",9.1,1,12,65.7,121.1,1971-03-15,"Mar","hurn"
"172",1971,"4",12.6,3.4,4,55.3,168,1971-04-15,"Apr","hurn"
"173",1971,"5",16.8,6,2,27.5,240,1971-05-15,"May","hurn"
"174",1971,"6",17.4,8.8,0,131.2,180.3,1971-06-15,"Jun","hurn"
"175",1971,"7",22.9,11.7,0,11.7,279.7,1971-07-15,"Jul","hurn"
"176",1971,"8",20.2,12.6,0,53,160.2,1971-08-15,"Aug","hurn"
"177",1971,"9",20.2,7.8,0,8.6,204.4,1971-09-15,"Sep","hurn"
"178",1971,"10",16.7,7,3,44.4,139.1,1971-10-15,"Oct","hurn"
