"","Year","Month","tmax","tmin","af","rain","sun"
"371",1987,11,10.4,3.3,6,81.1,67.2
"372",1987,12,8.7,3.5,7,50.3,44.4
"373",1988,1,9.3,2.8,8,160.5,63
"374",1988,2,9.1,0.5,12,52.8,138.1
"375",1988,3,10.7,3.6,7,87,101.3
"376",1988,4,12.8,3.4,8,35.3,185.3
"377",1988,5,17.4,7.6,1,28.8,237.8
"378",1988,6,19.9,9.7,0,19.7,176.7
"379",1988,7,18.9,11.4,0,74.1,194.8
"380",1988,8,20.4,10.5,0,70.1,178.1
"381",1988,9,18.3,9.5,1,35.9,159.7
"382",1988,10,15.4,7.5,2,118.7,117.5
"383",1988,11,10.8,0.7,19,22.5,106
"384",1988,12,10.7,4,5,23,49.4
"385",1989,1,10.1,2.3,10,34.5,70.7
"386",1989,2,10.4,2,12,79.9,93.6
"387",1989,3,12,4,5,93.4,105.2
"388",1989,4,11.3,2.1,9,67.6,175.8
"389",1989,5,19.9,7.3,0,12.2,317.4
"390",1989,6,20.8,8.9,0,38,277
"391",1989,7,24.9,12.4,0,29.3,296.1
"392",1989,8,23,10.6,0,40.5,284.5
"393",1989,9,20,9.8,0,36.9,132.3
"394",1989,10,16.5,7.9,0,87.7,99.9
"395",1989,11,11.3,3,7,56.1,104
"396",1989,12,9.3,2.3,10,203.9,38.5
"397",1990,1,10.5,4.1,6,130.2,45.5
"398",1990,2,11.2,5.5,0,172.5,88.8
"399",1990,3,12.4,3.3,6,6.2,155.2
"400",1990,4,13.9,2.4,7,41.4,242.1
"401",1990,5,19.5,6,0,13.9,284.1
"402",1990,6,17.8,9.3,0,50.2,139.2
"403",1990,7,23,10.4,0,12.4,310.4
"404",1990,8,24.4,11.8,0,21.4,266.8
"405",1990,9,19.8,6.8,1,36.9,183.9
"406",1990,10,16.1,8.5,1,95.3,109
"407",1990,11,11,3.9,4,57.3,96.2
"408",1990,12,7.8,1.1,12,66.5,70.4
"409",1991,1,7.4,1,12,97.1,73.7
"410",1991,2,5.6,-2.5,20,35.7,87
"411",1991,3,11.9,4,7,96.9,104.1
"412",1991,4,12.5,3.4,5,44.2,169.6
"413",1991,5,16.3,6.4,1,10.7,175.9
"414",1991,6,16.5,8.9,0,111.5,161.7
"415",1991,7,21.3,12.4,0,78.2,219.3
"416",1991,8,22.8,11.7,0,12.1,260.2
